index_date,crude_steel_(thousand_ton)
2013-07-01,2801.75934866714
2013-08-01,2872.30755680607
2013-09-01,2959.48406891659
2013-10-01,2794.81373530728
2013-11-01,2846.37772126439
2013-12-01,2805.68064658097
2014-01-01,2825.1330455598
2014-02-01,2816.69178216517
2014-03-01,2897.71715980047
2014-04-01,2740.06021214224
2014-05-01,2811.67470814507
2014-06-01,2798.62556938736
2014-07-01,2865.68332918933
2014-08-01,2856.24344941938
2014-09-01,2837.73601643258
2014-10-01,2856.71963072743
2014-11-01,2766.58787112174
2014-12-01,2811.37216963187
2015-01-01,3047.42101059687
2015-02-01,2859.33067416478
2015-03-01,2703.58613504762
2015-04-01,2875.60083462461
2015-05-01,2911.70538803006
2015-06-01,2862.5794166626
2015-07-01,2785.08551323255
2015-08-01,2682.85836434353
2015-09-01,2454.66752889165
2015-10-01,2775.02347569013
2015-11-01,2630.25460254257
2015-12-01,2661.46836495934
2016-01-01,2545.28654956546
2016-02-01,2647.75854460485
2016-03-01,2484.1504575086
2016-04-01,2302.24369241509
2016-05-01,2555.54264049435
2016-06-01,2666.26493903636
2016-07-01,2761.10398839247
2016-08-01,2842.38502896452
2016-09-01,2744.54494342578
2016-10-01,2759.6943920438
2016-11-01,2720.63778714936
2016-12-01,2599.8834504749
2017-01-01,2878.83223663804
2017-02-01,2800.20660945329
2017-03-01,2862.36037309358
2017-04-01,2908.75321595511
2017-05-01,2924.66834312892
2017-06-01,2771.34945264583
2017-07-01,2769.78376524005
2017-08-01,2857.31347613121
2017-09-01,2956.63332919542
2017-10-01,2896.78081586172
2017-11-01,3084.91128506623
2017-12-01,3051.49307036373
2018-01-01,2900.70736905105
2018-02-01,2954.46048193233
2018-03-01,3115.39638942886
2018-04-01,2974.99009280223
2018-05-01,2713.99963106927
2018-06-01,3071.93556455561
2018-07-01,3011.09456173392
2018-08-01,2789.2914085439
2018-09-01,3060.90872602735
2018-10-01,3048.85122186304
2018-11-01,2876.53531076486
2018-12-01,2867.76158799072
2019-01-01,2995.56696015126
2019-02-01,2931.37709651952
2019-03-01,2899.30806055022
2019-04-01,2964.05041944173
2019-05-01,2828.8121068552
2019-06-01,2985.20869180271
2019-07-01,2428.2295314658
2019-08-01,2408.57004358768
2019-09-01,2380.51512179429
2019-10-01,2538.94336741249
2019-11-01,2598.43559602296
2019-12-01,2601.64292585773
2020-01-01,2700.95813542931
2020-02-01,2950.53615660402
2020-03-01,2762.19165111211
2020-04-01,1934.56096898897
2020-05-01,2263.7503425751
2020-06-01,2243.81053534303
2020-07-01,2550.79726619595
2020-08-01,2632.84303818057
2020-09-01,2638.60891786486
2020-10-01,2720.53079307856
2020-11-01,2942.62904118866
2020-12-01,3067.5088471635
2021-01-01,2982.87647838379
2021-02-01,3039.40781945723
2021-03-01,2863.85164935264
2021-04-01,3063.19768133861
2021-05-01,3145.84837007824
2021-06-01,3166.62732432815
2021-07-01,3014.7683247509
2021-08-01,3080.46152266259
2021-09-01,3118.82213029519
2021-10-01,2825.23922291343
2021-11-01,3014.19092165939
