index_date,crude_steel_(thousand_ton),pig_iron_(thousand_ton)
2007-10-01,2829.29386786442,2987.75000764586
2007-11-01,2884.87874229464,3031.64622639847
2007-12-01,3028.35486259679,3168.95610470621
2008-01-01,2977.54731277145,3243.84656787205
2008-02-01,2971.72555417182,3113.51866071194
2008-03-01,2935.61957464904,3101.382332954
2008-04-01,2948.83253440111,3100.79340257989
2008-05-01,2940.80355532879,3157.7680631201
2008-06-01,2987.34002660329,3194.70057217911
2008-07-01,3111.88097219006,3192.68710397016
2008-08-01,2984.52607858562,3197.18912289929
2008-09-01,2955.30287421708,3133.88646132726
2008-10-01,2816.18908461956,2991.99110001033
2008-11-01,2366.093802253,2331.79801192779
2008-12-01,1701.49829681409,1760.36327903112
2009-01-01,1636.88622941276,1693.51096179469
2009-02-01,1910.05625867066,1807.10650328754
2009-03-01,1682.47663387553,1652.92365941246
2009-04-01,1756.59486245357,1712.82654045299
2009-05-01,1697.76862450524,1696.38988285362
2009-06-01,1977.4361759008,1771.61271406892
2009-07-01,2397.71421749138,2155.3523976113
2009-08-01,2521.69834376347,2415.65791744363
2009-09-01,2678.86759465443,2549.82122150758
2009-10-01,2701.69351895731,2706.70907567711
2009-11-01,2747.8015366496,2689.30927099383
2009-12-01,2671.91037789157,2611.94866162099
2010-01-01,2791.52120505903,2677.47230131201
2010-02-01,2686.75348985272,2634.05312940187
2010-03-01,2756.2987501495,2718.26568727743
2010-04-01,2703.66857774646,2644.17404780768
2010-05-01,2812.60240319445,2617.9676724523
2010-06-01,2882.81814970546,2735.9227819118
2010-07-01,2749.5006068892,2606.24328258309
2010-08-01,2778.30601301957,2542.83139102451
2010-09-01,2677.72346182342,2651.88374609164
2010-10-01,2815.23687651057,2640.44585247742
2010-11-01,2691.46687636259,2556.01322445265
2010-12-01,2531.58805805368,2453.00017148602
2011-01-01,2849.68370190462,2685.72289665474
2011-02-01,2903.923254477,2786.04044257756
2011-03-01,2951.82437146743,2814.77898278533
2011-04-01,2964.27038394779,2843.69392381705
2011-05-01,3223.23250884818,3104.16132741194
2011-06-01,2902.84660440007,2808.24893116801
2011-07-01,3010.30769498897,2858.54325672468
2011-08-01,2938.69079912378,2250.08268466998
2011-09-01,2842.49768577393,2136.29679957273
2011-10-01,2750.51636756492,2053.97656720012
2011-11-01,2850.66412441022,2221.02180453922
2011-12-01,2857.35154995257,2239.21526630552
2012-01-01,2875.25425611815,2255.03023669266
2012-02-01,3023.83173301328,2329.96327935216
2012-03-01,3006.92341064398,2364.0155816634
2012-04-01,2993.44996325459,2371.7351795124
2012-05-01,2814.69247493602,2247.10458745276
2012-06-01,2816.89862347294,2208.90317368955
2012-07-01,2887.84847063513,2244.03277542417
2012-08-01,2762.80019842495,2106.94578470088
2012-09-01,2846.22646424135,2180.32418297029
2012-10-01,2991.90422066434,2303.06060055684
2012-11-01,2961.74788277533,2255.37956329431
2012-12-01,2958.69516903454,2172.970793903
2013-01-01,2837.86795501821,2218.90310045121
2013-02-01,2776.68146508022,2185.82545332898
2013-03-01,2755.74565637082,2108.61544612973
2013-04-01,2879.72418799015,2256.61124313601
2013-05-01,2924.2355089261,2244.95308418172
