index_date,crude_steel_(thousand_ton)_observed,crude_steel_(thousand_ton)_fitted,crude_steel_(thousand_ton)_predicted,std_error,ci_95_lower,ci_95_upper
2007-09-01,2806.25373307337,2785.6630537968776,,,,
2007-10-01,2829.29386786442,2840.0705890778613,,,,
2007-11-01,2884.87874229464,2874.2859328482773,,,,
2007-12-01,3028.35486259679,3002.454862676153,,,,
2008-01-01,2977.54731277145,3082.6598590224794,,,,
2008-02-01,2971.72555417182,2914.7937439242473,,,,
2008-03-01,2935.61957464904,2947.05558462422,,,,
2008-04-01,2948.83253440111,2939.670714706665,,,,
2008-05-01,2940.80355532879,2996.940951227629,,,,
2008-06-01,2987.34002660329,3001.558722132399,,,,
2008-07-01,3111.88097219006,3000.860158055831,,,,
2008-08-01,2984.52607858562,3068.09658793557,,,,
2008-09-01,2955.30287421708,2961.397132481688,,,,
2008-10-01,2816.18908461956,2844.286631069153,,,,
2008-11-01,2366.093802253,2262.366385541819,,,,
2008-12-01,1701.49829681409,1827.374368660913,,,,
2009-01-01,1636.88622941276,1696.4275290208457,,,,
2009-02-01,1910.05625867066,1777.5031408395348,,,,
2009-03-01,1682.47663387553,1724.375236360513,,,,
2009-04-01,1756.59486245357,1745.207474234745,,,,
2009-05-01,1697.76862450524,1741.3240057276043,,,,
2009-06-01,1977.4361759008,1785.6507253767497,,,,
2009-07-01,2397.71421749138,2225.0114762030557,,,,
2009-08-01,2521.69834376347,2523.7411350821603,,,,
2009-09-01,2678.86759465443,2618.6315936993446,,,,
2009-10-01,2701.69351895731,2782.968211367889,,,,
2009-11-01,2747.8015366496,2719.772672097929,,,,
2009-12-01,2671.91037789157,2675.760576344807,,,,
2010-01-01,2791.52120505903,2730.624284349303,,,,
2010-02-01,2686.75348985272,2726.3019365750215,,,,
2010-03-01,2756.2987501495,2773.736722224265,,,,
2010-04-01,2703.66857774646,2704.6060474954866,,,,
2010-05-01,2812.60240319445,2685.259577210145,,,,
2010-06-01,2882.81814970546,2855.8124983771504,,,,
2010-07-01,2749.5006068892,2745.5758064899223,,,,
2010-08-01,2778.30601301957,2688.046567502322,,,,
2010-09-01,2677.72346182342,2828.844389133485,,,,
2010-10-01,2815.23687651057,2731.2812212089143,,,,
2010-11-01,2691.46687636259,2716.423878265309,,,,
2010-12-01,2531.58805805368,2609.2938861130465,,,,
2011-01-01,2849.68370190462,2772.736304736953,,,,
2011-02-01,2903.923254477,2909.151680668355,,,,
2011-03-01,2951.82437146743,2926.1016067081287,,,,
2011-04-01,2964.27038394779,2964.67004943376,,,,
2011-05-01,3223.23250884818,3188.1489049597203,,,,
2011-06-01,2902.84660440007,2950.273973791036,,,,
2011-07-01,3010.30769498897,2966.1347676952664,,,,
2011-08-01,2938.69079912378,2466.8588709679525,,,,
2011-09-01,2842.49768577393,2610.9085955057417,,,,
2011-10-01,2750.51636756492,2609.9835084376436,,,,
2011-11-01,2850.66412441022,2791.876786676975,,,,
2011-12-01,2857.35154995257,2814.4223504824586,,,,
2012-01-01,2875.25425611815,2837.6316824016467,,,,
2012-02-01,3023.83173301328,2913.2291994516318,,,,
2012-03-01,3006.92341064398,2992.7167404932543,,,,
2012-04-01,2993.44996325459,2991.679386030112,,,,
2012-05-01,2814.69247493602,2877.8429993004897,,,,
2012-06-01,2816.89862347294,2808.205637563342,,,,
2012-07-01,2887.84847063513,2847.0724233897436,,,,
2012-08-01,2762.80019842495,2747.605529484054,,,,
2012-09-01,2846.22646424135,2812.5105814713297,,,,
2012-10-01,2991.90422066434,2931.4440567735383,,,,
2012-11-01,2961.74788277533,2915.0069444861074,,,,
2012-12-01,2958.69516903454,2858.083383733211,,,,
2013-01-01,2837.86795501821,2941.0242973835,,,,
